ParticipantIdentifier,Age,Low Start/High Start,Clump/Even,NativeSpeaker,EngAoA,Bilingual,Gender,WorkerType,TimeToCompletion,CompletionDate,R,Rmin,Rmax,dprime,dmin,dmax,AUROC,File,Task Condition,Fit type
3PwxlD6Y7RDPN1Ctf82w,45,Low Start,Even,1,unknown,0,female,turker,15,03/07/2020,0.175836656190551,0,0.35,0.708736338136621,0.235603857364346,1.13125817659977,0.746048625022424,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\3PwxlD6Y7RDPN1Ctf82w_responses.xlsx,Sheet1,Conf
Ph4ikT1rwiAGQLwmW5kC,52,Low Start,Even,1,unknown,0,male,turker,15,03/07/2020,0.076679957662968,0.01,0.15,0.306921021993978,3.96944714893165E-05,0.619451395145857,0.61765835649697,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\Ph4ikT1rwiAGQLwmW5kC_responses.xlsx,Sheet1,Conf
cTk7v32c5SOscYoWEP1b,56,Low Start,Even,1,unknown,0,female,turker,14,03/07/2020,0.55907359497372,0.4,0.6,1.0663591733943,0.540603034999154,1.58872394648072,0.900607992414325,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\cTk7v32c5SOscYoWEP1b_responses.xlsx,Sheet1,Conf
J6W3sdGwDw0cCjCus81Q,42,Low Start,Even,1,unknown,0,male,turker,13,03/07/2020,0.162620564909975,0,0.25,0.321068425167696,4.33026498573645E-05,0.877567802972386,0.656506375002098,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\J6W3sdGwDw0cCjCus81Q_responses.xlsx,Sheet1,Conf
v2DAxkJ9DrNxxMdrEgcL,34,High Start,Even,1,unknown,0,male,turker,19,03/07/2020,0.320073109645375,0.1,0.45,0.330869870451824,3.55745885100643E-05,0.769529741721777,0.722924124984981,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\v2DAxkJ9DrNxxMdrEgcL_responses.xlsx,Sheet1,Conf
0QdYxTabECPS8sKiqFTT,61,High Start,Even,1,unknown,0,female,turker,15,03/07/2020,0.131958523764149,0,0.2,0.705108543859787,0.407293570013875,1.02219962262335,0.731744362835917,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\0QdYxTabECPS8sKiqFTT_responses.xlsx,Sheet1,Conf
KkuDuCGVPLaXx9ep2SBb,35,High Start,Even,1,unknown,1,male,turker,14,03/07/2020,0.087095354500436,0,0.3,1.02131077704051,0.476363118824356,1.36714419775899,0.785382027114368,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\KkuDuCGVPLaXx9ep2SBb_responses.xlsx,Sheet1,Conf
L0jF2eOhrbfrWTMaXV42,32,Low Start,Clump,1,unknown,0,male,turker,13,03/07/2020,0.152442914686841,0.1,0.2,0.086437163598784,8.32667268468867E-17,0.365928721779538,0.596874668315542,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\L0jF2eOhrbfrWTMaXV42_responses.xlsx,Sheet1,Conf
wWhc8kwutEpgoN8jPsJ9,28,High Start,Clump,1,unknown,0,male,turker,16,04/07/2020,5.03631179102151E-06,0,0.3,0.408945723436658,3.84699997398667E-05,0.617227750979889,0.613775359277769,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\wWhc8kwutEpgoN8jPsJ9_responses.xlsx,Sheet1,Conf
olxyimXOf6bgbhPHjefq,20,High Start,Clump,0,13,1,male,turker,12,04/07/2020,0.359138465720249,0.1,0.45,0.549762382541169,0.080841412826596,1.07953488960918,0.776509510972327,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\olxyimXOf6bgbhPHjefq_responses.xlsx,Sheet1,Conf
iTL1V7fP1YGqcPCy2Cjj,21,High Start,Clump,1,unknown,1,female,turker,22,04/07/2020,0.269480364021848,0,0.45,0.393817120923531,0,0.934440527852943,0.71485925635582,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\iTL1V7fP1YGqcPCy2Cjj_responses.xlsx,Sheet1,Conf
maXKXLHAqxIu87hL4fYg,35,High Start,Clump,1,unknown,1,female,turker,16,04/07/2020,0.080928449852209,0,0.2,2.14840727694937E-06,8.61649486022904E-07,0.277851009751271,0.540464472083964,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\maXKXLHAqxIu87hL4fYg_responses.xlsx,Sheet1,Conf
LpRUIM5W47XGwsYIpo2D,19,Low Start,Clump,0,5,1,female,turker,15,04/07/2020,0.152227710690623,0,0.3,0.122211406324966,2.82693397526967E-05,0.496902699250949,0.605304328946746,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\LpRUIM5W47XGwsYIpo2D_responses.xlsx,Sheet1,Conf
u8MAPKac0E0HQTqgxI8I,26,Low Start,Clump,1,unknown,0,male,turker,10,04/07/2020,0.336488999264788,0.15,0.45,0.490887150728178,0.047839839810503,0.94164076823438,0.758312851162859,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\u8MAPKac0E0HQTqgxI8I_responses.xlsx,Sheet1,Conf
11qM4eXcxkc1hI23kKW9,29,Low Start,Clump,1,unknown,1,male,turker,16,04/07/2020,0.408249445978089,0.15,0.5,0.441571053130599,4.03795461020568E-05,1.07872356127001,0.776655365869615,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\11qM4eXcxkc1hI23kKW9_responses.xlsx,Sheet1,Conf
tWAWWACnM8C55WcWMVyr,32,Low Start,Clump,1,unknown,0,male,turker,18,04/07/2020,0.067499983039925,0,0.25,6.40960462985688E-08,6.73008486134972E-08,0.237843818864174,0.533749702380103,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\tWAWWACnM8C55WcWMVyr_responses.xlsx,Sheet1,Conf
lPSoUXYbB2b4vvTq4Kl2,54,Low Start,Clump,1,unknown,0,male,turker,31,04/07/2020,0.074893423821343,0,0.4,0.705299437696102,0.188734566344804,1.02422253408201,0.714153233017693,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\lPSoUXYbB2b4vvTq4Kl2_responses.xlsx,Sheet1,Conf
PsktWkVq7u5Vi9D8k2xa,34,High Start,Even,1,unknown,0,male,turker,14,05/07/2020,0.294981036133799,0,0.4,0.386255205377406,5.85660027297081E-05,1.09925382099358,0.72336501275986,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\PsktWkVq7u5Vi9D8k2xa_responses.xlsx,Sheet1,Conf
ksBIYPmUgTx7IHw2L42b,27,High Start,Even,1,unknown,0,male,turker,16,05/07/2020,1.13388878860206E-16,0,0.2,0.444801104121275,6.00150660604328E-05,0.652853493334376,0.623437358908062,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\ksBIYPmUgTx7IHw2L42b_responses.xlsx,Sheet1,Conf
FaGYjTjXlTp7IlBQN0Rq,32,High Start,Even,1,unknown,1,male,turker,23,05/07/2020,0.688249739036341,0,0.8,0.475842725942513,1.56798660309829E-05,1.72156577055173,0.885195286681676,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\FaGYjTjXlTp7IlBQN0Rq_responses.xlsx,Sheet1,Conf
8Oo65iouDr7MttFr8eU9,32,High Start,Even,1,unknown,0,male,turker,18,05/07/2020,0.14178578931709,0,0.2,0.800300614036697,0.494509689053495,1.16050692412965,0.754780820529014,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\8Oo65iouDr7MttFr8eU9_responses.xlsx,Sheet1,Conf
0byyJjFw7xaS6bv4Xbbl,34,Low Start,Even,1,unknown,0,male,turker,17,05/07/2020,0.012169627187841,0,0.1,1.25484275487337E-07,1.25484275487337E-07,0.100149583061883,0.506084558421582,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\0byyJjFw7xaS6bv4Xbbl_responses.xlsx,Sheet1,Conf
VSvMan4UTCS7Yhu6Pyal,53,Low Start,Even,1,unknown,0,male,turker,17,05/07/2020,0.379023743945369,0,0.45,1.35404547944469,0.947965796897186,2.00217790395824,0.894949845287966,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\VSvMan4UTCS7Yhu6Pyal_responses.xlsx,Sheet1,Conf
m7YvwM8CxDuIMiIhSOpk,69,Low Start,Even,1,unknown,0,female,turker,30,05/07/2020,0.331053467097517,0,0.45,0.995999286045681,0.54198511231725,1.55113976862053,0.839031186026706,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\m7YvwM8CxDuIMiIhSOpk_responses.xlsx,Sheet1,Conf
nFxE0RRpNflColeXjnka,36,Low Start,Even,1,unknown,0,male,turker,22,05/07/2020,0.26363820948886,0,0.5,0.806535266926367,0.146609743491478,1.28373558566317,0.790699991094331,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\nFxE0RRpNflColeXjnka_responses.xlsx,Sheet1,Conf
HdfMS9EbaT0oCN8jVDpf,30,Low Start,Even,1,unknown,0,male,turker,19,05/07/2020,6.03891658353215E-07,0,0.15,0.308173086797173,0.015239178282911,0.50710350722105,0.58625084203196,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\HdfMS9EbaT0oCN8jVDpf_responses.xlsx,Sheet1,Conf
Hbco4qGiMfx4NgLFfwrX,29,Low Start,Even,0,5,1,male,turker,27,05/07/2020,4.86609412378829E-05,0,0.35,0.153257190673846,3.49641007597307E-05,0.372835732634956,0.54317052672924,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\Hbco4qGiMfx4NgLFfwrX_responses.xlsx,Sheet1,Conf
eCGCJQtSYFO7tiNThGPV,26,Low Start,Even,1,unknown,0,male,turker,30,05/07/2020,0.124078563600778,0.01,0.25,3.54151614010413E-07,3.9045215444648E-07,0.33504054567655,0.562039047089906,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\eCGCJQtSYFO7tiNThGPV_responses.xlsx,Sheet1,Conf
tA2PPGP3I9WoOnQyj5Tq,60,High Start,Clump,1,unknown,0,female,turker,18,05/07/2020,0.299364319197878,0.25,0.35,0.642063666777038,0.20988114208787,1.07642339418929,0.772354986298152,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\tA2PPGP3I9WoOnQyj5Tq_responses.xlsx,Sheet1,Conf
SN3WUbSGDLpBPyUVPNsS,28,High Start,Clump,1,unknown,1,male,turker,18,05/07/2020,3.89390068831231E-06,0,0.35,0.327212846264509,4.85722573273506E-17,0.519992895933459,0.591489335059376,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\SN3WUbSGDLpBPyUVPNsS_responses.xlsx,Sheet1,Conf
18Qs0CslyhfR5XeoHYbb,25,High Start,Clump,1,unknown,1,female,turker,27,05/07/2020,1.2347291677658E-06,0,0.05,1.95630940248903E-06,7.47243699239809E-07,0.090060427069673,0.500000882576659,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\18Qs0CslyhfR5XeoHYbb_responses.xlsx,Sheet1,Conf
wRhqynXuCTsy1cbeeTHo,28,High Start,Clump,1,unknown,0,male,turker,22,05/07/2020,7.27065976868781E-17,0,0.075,6.44531249999742E-06,2.46189030688446E-06,0.080639498110281,0.500001531537478,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\wRhqynXuCTsy1cbeeTHo_responses.xlsx,Sheet1,Conf
rBYKUP3biY0QAMqPwa6k,26,Low Start,Clump,1,unknown,1,male,turker,12,05/07/2020,8.25655791488071E-06,0,0.075,3.45862749964014E-05,1.32107815043747E-05,0.172904324100294,0.500013598152302,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\rBYKUP3biY0QAMqPwa6k_responses.xlsx,Sheet1,Conf
WftaLTNIChyWE2WOvVBG,57,Low Start,Clump,1,unknown,0,female,turker,17,05/07/2020,0.145710484286001,0,0.3,0.302313783119116,2.35562663250602E-05,0.717055529160609,0.645158643405334,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\WftaLTNIChyWE2WOvVBG_responses.xlsx,Sheet1,Conf
LC0dpdwnoYC6qYtYHxRf,43,Low Start,Clump,1,unknown,0,female,turker,14,05/07/2020,0.014296579554504,0,0.35,0.965344268971627,0.475407142334571,1.24225983453887,0.756107751677543,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\LC0dpdwnoYC6qYtYHxRf_responses.xlsx,Sheet1,Conf
9PM1e0t89EI4lSHm1mau,46,Low Start,Clump,1,unknown,0,female,turker,14,05/07/2020,0.159341513551773,0.04,0.25,0.109062149325026,2.13173513692641E-05,0.503588076905835,0.605508415241121,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\9PM1e0t89EI4lSHm1mau_responses.xlsx,Sheet1,Conf
ACgyhnxLa8BwQEp0jqg4,36,Low Start,Clump,1,unknown,0,male,turker,25,05/07/2020,0.072105073026503,0,0.45,0.52301123634481,5.43932107545701E-05,0.81102270401564,0.669895038296099,\\campus\rdw\ion02\02\smulderslab\Memory ROC\Georgia data\Christine test data\ACgyhnxLa8BwQEp0jqg4_responses.xlsx,Sheet1,Conf
