"Participant","File","Task.Condition","Fit.type","R","Rmin","Rmax","dprime","dmin","dmax","AUROC","Frequency","Age","Sex","LowOrHighStart","ClumpedOrEven","NativeSpeaker","EngAoA","Bilingual","WorkerType","TimeToCompletion"
"09RaN4UIEharoVW5g8y6","09RaN4UIEharoVW5g8y6_responses_high.xlsx","Sheet1","Conf",0.2499739457,0.05,0.4,1.59228523747405e-07,2.13381450537051e-07,0.4628298437,0.6249866482,"high",52,"male","Low Start","Clump",TRUE,"unknown",FALSE,"turker",32
"09RaN4UIEharoVW5g8y6","09RaN4UIEharoVW5g8y6_responses_low.xlsx","Sheet1","Conf",0.0983432928,0,0.35,0.1062244758,9.71445146547012e-17,0.4697731821,0.576164437,"low",52,"male","Low Start","Clump",TRUE,"unknown",FALSE,"turker",32
"0byyJjFw7xaS6bv4Xbbl","0byyJjFw7xaS6bv4Xbbl_responses_high.xlsx","Sheet1","Conf",0.0845145656,0,0.2,1.49475830731137e-07,1.49475830731137e-07,0.2000566712,0.5422570105,"high",34,"male","Low Start","Even",TRUE,"unknown",FALSE,"turker",17
"0byyJjFw7xaS6bv4Xbbl","0byyJjFw7xaS6bv4Xbbl_responses_low.xlsx","Sheet1","Conf",2.08039802848878e-06,0,0.075,3.21989155918511e-06,1.22988913551982e-06,0.0878487876,0.5000016619,"low",34,"male","Low Start","Even",TRUE,"unknown",FALSE,"turker",17
"0C3Qh8c36OkJxrrCDwUB","0C3Qh8c36OkJxrrCDwUB_responses_high.xlsx","Sheet1","Conf",0.705175134,0.6,0.8,0.4888672479,5.44574458479173e-05,1.1871437732,0.8924502104,"high",27,"male","Low Start","Even",TRUE,"unknown",FALSE,"turker",30
"0C3Qh8c36OkJxrrCDwUB","0C3Qh8c36OkJxrrCDwUB_responses_low.xlsx","Sheet1","Conf",0.1616011092,0.1,0.25,7.6e-08,1.12341109304606e-07,0.2553137411,0.5808002396,"low",27,"male","Low Start","Even",TRUE,"unknown",FALSE,"turker",30
"0dJglgq09qU4bHYDfkET","0dJglgq09qU4bHYDfkET_responses_high.xlsx","Sheet1","Conf",3.42431856597055e-08,0,0.5,0.5176797613,3.46548216085922e-05,0.9987425148,0.6428376562,"high",47,"female","Low Start","Clump",TRUE,"unknown",FALSE,"turker",35
"0dJglgq09qU4bHYDfkET","0dJglgq09qU4bHYDfkET_responses_low.xlsx","Sheet1","Conf",1.93466907051143e-05,0,0.15,0.0002439702,0.0001863766,0.3589182576,0.5000782081,"low",47,"female","Low Start","Clump",TRUE,"unknown",FALSE,"turker",35
"0frgcAbRqChDchaRBwUo","0frgcAbRqChDchaRBwUo_responses_high.xlsx","Sheet1","Conf",0.0389712169,0,0.3,1.1205010763,0.5154404246,1.4460430557,0.7942541782,"high",32,"female","High Start","Even",FALSE,"5",TRUE,"turker",40
"0frgcAbRqChDchaRBwUo","0frgcAbRqChDchaRBwUo_responses_low.xlsx","Sheet1","Conf",0.5019463956,0,0.7,1.2707246579,0.0608988003,2.1336838251,0.9081340257,"low",32,"female","High Start","Even",FALSE,"5",TRUE,"turker",40
