"","ParticipantIdentifier","Age","Condition","NativeSpeaker","EngAoA","Bilingual","Gender","WorkerType","TimeToCompletion","CompletionDate","File","WordFreq","AUROCnofit","R","Rmin","Rmax","dprime","dmin","dmax","AUROC","logL","StartCondition","OrderCondition"
"1","09RaN4UIEharoVW5g8y6",52,"lowStart_clump",TRUE,"unknown",FALSE,"male","turker",32,"07/08/2020","../data/09RaN4UIEharoVW5g8y6_responses.xlsx","LoFreq",0.52630440359917,0.0983425273625897,4.06938630474634e-05,0.356241186539908,0.106248021677174,3.13384721580352e-05,0.469709925687264,0.576128277451062,-280.805846702956,"Low","Clumped"
"2","09RaN4UIEharoVW5g8y6",52,"lowStart_clump",TRUE,"unknown",FALSE,"male","turker",32,"07/08/2020","../data/09RaN4UIEharoVW5g8y6_responses.xlsx","HiFreq",0.537779769475037,0.249984097353527,4.08112244892237e-05,0.426124519610876,0,3.13384721580352e-05,0.499261559280672,0.624952460128043,-282.499270063005,"Low","Clumped"
"3","09RaN4UIEharoVW5g8y6",52,"lowStart_clump",TRUE,"unknown",FALSE,"male","turker",32,"07/08/2020","../data/09RaN4UIEharoVW5g8y6_responses.xlsx","AllFreq",0.531964535216957,0.212044841449518,4.07904270578228e-05,0.352908545047833,0,3.13384721580352e-05,0.432748376891289,0.605984033759796,-373.790447244656,"Low","Clumped"
"4","0byyJjFw7xaS6bv4Xbbl",34,"lowStart_even",TRUE,"unknown",FALSE,"male","turker",17,"07/05/2020","../data/0byyJjFw7xaS6bv4Xbbl_responses.xlsx","HiFreq",0.486888431006264,0.0844898782108877,4.07151111403346e-05,0.225319091882518,0,3.13384721580352e-05,0.200016658191044,0.542210591964249,-243.790594473654,"Low","Even"
"5","0byyJjFw7xaS6bv4Xbbl",34,"lowStart_even",TRUE,"unknown",FALSE,"male","turker",17,"07/05/2020","../data/0byyJjFw7xaS6bv4Xbbl_responses.xlsx","AllFreq",0.474677902574967,0.0121767455655862,4.44832695970022e-05,0.115592593605578,0,3.13384721580352e-05,0.1001281689092,0.5060563158886,-345.522725702747,"Low","Even"
"6","0byyJjFw7xaS6bv4Xbbl",34,"lowStart_even",TRUE,"unknown",FALSE,"male","turker",17,"07/05/2020","../data/0byyJjFw7xaS6bv4Xbbl_responses.xlsx","LoFreq",0.46319890885934,0,6.60408543905442e-05,0.0779983437074435,0,3.13384721580352e-05,0.0877623251261344,0.499968328757859,-253.563777793235,"Low","Even"
"7","0C3Qh8c36OkJxrrCDwUB",27,"lowStart_even",TRUE,"unknown",FALSE,"male","turker",30,"07/20/2020","../data/0C3Qh8c36OkJxrrCDwUB_responses.xlsx","AllFreq",0.586409029450806,0.449531202411699,0.348882680425008,0.526085320089276,0,3.13384721580352e-05,0.387268042872663,0.724719692752387,-331.358134950971,"Low","Even"
"8","0C3Qh8c36OkJxrrCDwUB",27,"lowStart_even",TRUE,"unknown",FALSE,"male","turker",30,"07/20/2020","../data/0C3Qh8c36OkJxrrCDwUB_responses.xlsx","HiFreq",0.684784190956634,0.705118560248797,0.542083502730788,0.821513105887548,0.489339868258423,8.14442012653855e-05,1.18731167139755,0.892372630202317,-201.484651338673,"Low","Even"
"9","0C3Qh8c36OkJxrrCDwUB",27,"lowStart_even",TRUE,"unknown",FALSE,"male","turker",30,"07/20/2020","../data/0C3Qh8c36OkJxrrCDwUB_responses.xlsx","LoFreq",0.515730581879325,0.161558512176477,0.0780939039802041,0.260328781423136,0,3.13384721580352e-05,0.266078011180074,0.580742468087919,-231.589633644275,"Low","Even"
"10","0dJglgq09qU4bHYDfkET",47,"lowStart_clump",TRUE,"unknown",FALSE,"female","turker",35,"07/13/2020","../data/0dJglgq09qU4bHYDfkET_responses.xlsx","AllFreq",0.974910999449094,0,4.06932362600074e-05,0.291543836188463,0.216471183588383,3.13384721580352e-05,0.579900891766824,0.560778007808494,-123.242165603904,"Low","Clumped"
"11","0dJglgq09qU4bHYDfkET",47,"lowStart_clump",TRUE,"unknown",FALSE,"female","turker",35,"07/13/2020","../data/0dJglgq09qU4bHYDfkET_responses.xlsx","LoFreq",0.974910999449094,0,6.60408543905442e-05,0.193073978450406,0,3.13384721580352e-05,0.358648893124434,0.499968328757859,-97.660628041527,"Low","Clumped"
"12","0dJglgq09qU4bHYDfkET",47,"lowStart_clump",TRUE,"unknown",FALSE,"female","turker",35,"07/13/2020","../data/0dJglgq09qU4bHYDfkET_responses.xlsx","HiFreq",0.974910999449094,0,4.07003093649517e-05,0.599900220200372,0.517004638219276,8.14458678846753e-05,0.997472091935211,0.642568340358594,-95.1342462388289,"Low","Clumped"
"13","0frgcAbRqChDchaRBwUo",32,"highStart_even",FALSE,"5",TRUE,"female","turker",40,"07/05/2020","../data/0frgcAbRqChDchaRBwUo_responses.xlsx","LoFreq",0.726533687479787,0.501945848828626,4.07183857682635e-05,0.753244470567133,1.27067803376291,8.15175210431647e-05,2.13364978363913,0.907745750210779,-218.597427626384,"High","Even"
"14","0frgcAbRqChDchaRBwUo",32,"highStart_even",FALSE,"5",TRUE,"female","turker",40,"07/05/2020","../data/0frgcAbRqChDchaRBwUo_responses.xlsx","AllFreq",0.663457996668058,0.271387102782536,4.0709336481683e-05,0.477285077551057,1.16093043221786,0.620091562313603,1.67744998801118,0.849699947380486,-335.140298667422,"High","Even"
"15","0frgcAbRqChDchaRBwUo",32,"highStart_even",FALSE,"5",TRUE,"female","turker",40,"07/05/2020","../data/0frgcAbRqChDchaRBwUo_responses.xlsx","HiFreq",0.614345932878223,0.0389228227609524,4.07313327121643e-05,0.317997173251217,1.12056533588963,0.506904479051871,1.4459616767038,0.793965565817643,-236.442591464342,"High","Even"
"16","0QdYxTabECPS8sKiqFTT",61,"highStart_even",TRUE,"unknown",FALSE,"female","turker",15,"07/03/2020","../data/0QdYxTabECPS8sKiqFTT_responses.xlsx","HiFreq",0.53276280369937,0.0873019880079082,4.06944104844932e-05,0.203778412209036,0.431846744492998,0.0368230683735478,0.793722248564511,0.653055159471933,-194.708967539789,"High","Even"
"17","0QdYxTabECPS8sKiqFTT",61,"highStart_even",TRUE,"unknown",FALSE,"female","turker",15,"07/03/2020","../data/0QdYxTabECPS8sKiqFTT_responses.xlsx","AllFreq",0.573823514461765,0.131838564093078,4.06965887365217e-05,0.223853670290363,0.705278831737415,0.39938456024342,1.02237454703237,0.731611041931956,-269.449326822082,"High","Even"
"18","0QdYxTabECPS8sKiqFTT",61,"highStart_even",TRUE,"unknown",FALSE,"female","turker",15,"07/03/2020","../data/0QdYxTabECPS8sKiqFTT_responses.xlsx","LoFreq",0.622345906073406,0.178142650939748,4.07015362335219e-05,0.326896169516159,1.03365716980493,0.611927992157529,1.4844011332404,0.808736998111272,-191.06266046598,"High","Even"
"19","0VrYliuVSykEMQQiLToH",29,"lowStart_even",TRUE,"unknown",FALSE,"male","turker",34,"07/20/2020","../data/0VrYliuVSykEMQQiLToH_responses.xlsx","HiFreq",0.48798383549456,0,6.60408543905442e-05,0.0418249008655957,0,3.13384721580352e-05,0.219502390119161,0.499968328757859,-220.418845844063,"Low","Even"
"20","0VrYliuVSykEMQQiLToH",29,"lowStart_even",TRUE,"unknown",FALSE,"male","turker",34,"07/20/2020","../data/0VrYliuVSykEMQQiLToH_responses.xlsx","LoFreq",0.623388997510119,0.176154080661086,4.91585314071641e-05,0.325264283145193,0.72605858460563,0.352681750453193,1.08515060573554,0.749547342353253,-229.408026778525,"Low","Even"
"21","0VrYliuVSykEMQQiLToH",29,"lowStart_even",TRUE,"unknown",FALSE,"male","turker",34,"07/20/2020","../data/0VrYliuVSykEMQQiLToH_responses.xlsx","AllFreq",0.547632947687362,0.0856674384161956,0.00757421637340181,0.165732383915003,0.280538618696878,0.0156262400516324,0.535279086830327,0.614662588388455,-319.775200315159,"Low","Even"
"22","11qM4eXcxkc1hI23kKW9",29,"lowStart_clump",TRUE,"unknown",TRUE,"male","turker",16,"07/04/2020","../data/11qM4eXcxkc1hI23kKW9_responses.xlsx","LoFreq",0.660139366506428,0.462896286784273,4.07184467616952e-05,0.65359103269361,0.650249111873557,8.14508229245789e-05,1.53939319815484,0.826483494028253,-253.953324215539,"Low","Clumped"
"23","11qM4eXcxkc1hI23kKW9",29,"lowStart_clump",TRUE,"unknown",TRUE,"male","turker",16,"07/04/2020","../data/11qM4eXcxkc1hI23kKW9_responses.xlsx","AllFreq",0.629520973404851,0.408278651651764,0.119227587679017,0.543895942218362,0.441506778491841,8.14943934448948e-05,1.07900138733578,0.776572843454232,-372.742323087483,"Low","Clumped"
"24","11qM4eXcxkc1hI23kKW9",29,"lowStart_clump",TRUE,"unknown",TRUE,"male","turker",16,"07/04/2020","../data/11qM4eXcxkc1hI23kKW9_responses.xlsx","HiFreq",0.601946872443932,0.356040212107404,0.017794525999866,0.49330057885516,0.248512532978749,8.14620896854947e-05,1.0203520828088,0.722873284155412,-264.178344512906,"Low","Clumped"
"25","15TRDE8yE1yymY1CUJF7",28,"lowStart_clump",TRUE,"unknown",FALSE,"male","turker",27,"07/08/2020","../data/15TRDE8yE1yymY1CUJF7_responses.xlsx","AllFreq",0.536167118746107,0.174363837038577,4.07231931152918e-05,0.387671065902001,0.0405676835694127,3.13384721580352e-05,0.409662900523813,0.59658958015234,-349.694509978216,"Low","Clumped"
"26","15TRDE8yE1yymY1CUJF7",28,"lowStart_clump",TRUE,"unknown",FALSE,"male","turker",27,"07/08/2020","../data/15TRDE8yE1yymY1CUJF7_responses.xlsx","LoFreq",0.44862623438803,0,6.60408543905442e-05,0.0602993105380829,0,3.13384721580352e-05,0.0646458795660442,0.499968328757859,-291.545326779974,"Low","Clumped"
"27","15TRDE8yE1yymY1CUJF7",28,"lowStart_clump",TRUE,"unknown",FALSE,"male","turker",27,"07/08/2020","../data/15TRDE8yE1yymY1CUJF7_responses.xlsx","HiFreq",0.974910999449094,0,4.06916621915553e-05,0.986204028029648,1.8522184749941,8.14077807856754e-05,2.55498941968951,0.903797631037833,-192.361379150796,"Low","Clumped"
"28","18Qs0CslyhfR5XeoHYbb",25,"highStart_clump",TRUE,"unknown",TRUE,"female","turker",27,"07/05/2020","../data/18Qs0CslyhfR5XeoHYbb_responses.xlsx","HiFreq",0.499968328757859,0,4.06916262798884e-05,0.203769824513616,0,3.13384721580352e-05,0.290413650702997,0.499968328757859,-138.201525690166,"High","Clumped"
"29","18Qs0CslyhfR5XeoHYbb",25,"highStart_clump",TRUE,"unknown",TRUE,"female","turker",27,"07/05/2020","../data/18Qs0CslyhfR5XeoHYbb_responses.xlsx","LoFreq",0.378141833441532,0,6.60408543905442e-05,0.0478912760852004,0,3.13384721580352e-05,0.0786551405450335,0.499968328757859,-145.898525710857,"High","Clumped"
"30","18Qs0CslyhfR5XeoHYbb",25,"highStart_clump",TRUE,"unknown",TRUE,"female","turker",27,"07/05/2020","../data/18Qs0CslyhfR5XeoHYbb_responses.xlsx","AllFreq",0.424155564141074,0,6.60408543905442e-05,0.0575096293790601,0,3.13384721580352e-05,0.0899187870748272,0.499968328757859,-195.401699956145,"High","Clumped"
"31","1ak7yQUoIX150qiE0LYe",72,"lowStart_even",TRUE,"unknown",FALSE,"male","turker",16,"07/08/2020","../data/1ak7yQUoIX150qiE0LYe_responses.xlsx","AllFreq",0.601863898520605,0.120625130310484,4.06943263471552e-05,0.540117852268922,0.455192484127517,8.13990967460703e-05,0.778034377609105,0.671228764666012,-326.782959013726,"Low","Even"
"32","1ak7yQUoIX150qiE0LYe",72,"lowStart_even",TRUE,"unknown",FALSE,"male","turker",16,"07/08/2020","../data/1ak7yQUoIX150qiE0LYe_responses.xlsx","LoFreq",0.649769237047167,0.685929194949448,4.0727651154048e-05,0.807239863700596,0,8.138069226604e-05,1.11334947417377,0.842911202003506,-238.721725041845,"Low","Even"
"33","1ak7yQUoIX150qiE0LYe",72,"lowStart_even",TRUE,"unknown",FALSE,"male","turker",16,"07/08/2020","../data/1ak7yQUoIX150qiE0LYe_responses.xlsx","HiFreq",0.566069760840492,0,4.07870821378875e-05,0.328074554542988,0.270276324189511,8.14379791552878e-05,0.539681459881913,0.575726367052084,-263.332899114597,"Low","Even"
"34","1OAr1dV6PSYYmDOGGm1L",25,"lowStart_even",TRUE,"unknown",TRUE,"male","turker",23,"07/20/2020","../data/1OAr1dV6PSYYmDOGGm1L_responses.xlsx","LoFreq",0.698509717795787,0.667104220372555,4.07056868329393e-05,0.823040739973411,0.48283767822616,8.14113407214002e-05,1.60276979766124,0.877935953375527,-265.445796115397,"Low","Even"
"35","1OAr1dV6PSYYmDOGGm1L",25,"lowStart_even",TRUE,"unknown",TRUE,"male","turker",23,"07/20/2020","../data/1OAr1dV6PSYYmDOGGm1L_responses.xlsx","HiFreq",0.66581341240726,0.33886351847437,4.07086223661201e-05,0.699162530321269,0.998379162538261,8.15656046987482e-05,1.61594788593505,0.841023881700039,-271.837768813104,"Low","Even"
"36","1OAr1dV6PSYYmDOGGm1L",25,"lowStart_even",TRUE,"unknown",TRUE,"male","turker",23,"07/20/2020","../data/1OAr1dV6PSYYmDOGGm1L_responses.xlsx","AllFreq",0.68131363961993,0.528006356051483,4.07193761688196e-05,0.731867099113956,0.757001239854466,8.16022148604592e-05,1.55039692280615,0.860032712993416,-344.685531178042,"Low","Even"
"37","20kmkNdmxVqWCIS3cNfy",31,"highStart_clump",TRUE,"unknown",FALSE,"male","turker",13,"07/05/2020","../data/20kmkNdmxVqWCIS3cNfy_responses.xlsx","HiFreq",0.647966464095589,0,4.0716559510992e-05,0.370494532487087,1.15085142542725,0.636890188670544,1.42085169820617,0.791805132200807,-279.693289028231,"High","Clumped"
"38","20kmkNdmxVqWCIS3cNfy",31,"highStart_clump",TRUE,"unknown",FALSE,"male","turker",13,"07/05/2020","../data/20kmkNdmxVqWCIS3cNfy_responses.xlsx","AllFreq",0.605029667936378,0.178584113730287,4.0706388943671e-05,0.424062850478742,0.635345398451153,0.114718533462254,1.03320732630051,0.731589606181387,-399.377753605952,"High","Clumped"
"39","20kmkNdmxVqWCIS3cNfy",31,"highStart_clump",TRUE,"unknown",FALSE,"male","turker",13,"07/05/2020","../data/20kmkNdmxVqWCIS3cNfy_responses.xlsx","LoFreq",0.568970642122622,0.318366724358429,4.0697029004831e-05,0.448891729382513,0.0493953822915598,3.13384721580352e-05,0.72850376673693,0.668635205514875,-308.90834858506,"High","Clumped"
"40","26Y7x8Mxrs2uYKsOK6Me",45,"lowStart_clump",TRUE,"unknown",FALSE,"male","turker",12,"07/08/2020","../data/26Y7x8Mxrs2uYKsOK6Me_responses.xlsx","AllFreq",0.644122767847875,0.429253374881621,0.0704732934004903,0.57293219460478,0.818589065286495,0.344166882568522,1.37953689272153,0.839252180736821,-346.250637079541,"Low","Clumped"
"41","26Y7x8Mxrs2uYKsOK6Me",45,"lowStart_clump",TRUE,"unknown",FALSE,"male","turker",12,"07/08/2020","../data/26Y7x8Mxrs2uYKsOK6Me_responses.xlsx","HiFreq",0.58222718199977,0.190598195279687,4.07034015832582e-05,0.377674887072447,0.72827541640759,0.242479476635166,1.22059508634253,0.754378782825825,-264.329450965413,"Low","Clumped"
"42","26Y7x8Mxrs2uYKsOK6Me",45,"lowStart_clump",TRUE,"unknown",FALSE,"male","turker",12,"07/08/2020","../data/26Y7x8Mxrs2uYKsOK6Me_responses.xlsx","LoFreq",0.734015602168256,0.683389051311098,0.236819257546289,0.838315181896803,0.979671383276374,8.14575840583495e-05,1.85099373486513,0.922444971065943,-229.862066098952,"Low","Clumped"
"43","2BU3ABHCxKPryrTskobX",48,"highStart_even",TRUE,"unknown",FALSE,"female","turker",17,"07/20/2020","../data/2BU3ABHCxKPryrTskobX_responses.xlsx","HiFreq",0.480510814446916,0.0663008540646175,4.07254855252239e-05,0.256493883986645,0,3.13384721580352e-05,0.273220619409715,0.53311665595993,-189.18032479016,"High","Even"
"44","2BU3ABHCxKPryrTskobX",48,"highStart_even",TRUE,"unknown",FALSE,"female","turker",17,"07/20/2020","../data/2BU3ABHCxKPryrTskobX_responses.xlsx","LoFreq",0.398054242144553,0,6.60408543905442e-05,0.0809134462632589,0,3.13384721580352e-05,0.0839966868630725,0.499968328757859,-201.860990365608,"High","Even"
"45","2BU3ABHCxKPryrTskobX",48,"highStart_even",TRUE,"unknown",FALSE,"female","turker",17,"07/20/2020","../data/2BU3ABHCxKPryrTskobX_responses.xlsx","AllFreq",0.434046775557363,0,5.76738391358371e-05,0.107271902676394,0,3.13384721580352e-05,0.0994762648931885,0.499968328757859,-272.427159161487,"High","Even"
"46","3gjgXV5oRLIHsS9R4idI",28,"highStart_clump",TRUE,"unknown",TRUE,"male","turker",18,"07/20/2020","../data/3gjgXV5oRLIHsS9R4idI_responses.xlsx","AllFreq",0.423071017624807,0,4.57635529148633e-05,0.10115005798212,0,3.13384721580352e-05,0.103078257488102,0.499968328757859,-219.957193790535,"High","Clumped"
"47","3gjgXV5oRLIHsS9R4idI",28,"highStart_clump",TRUE,"unknown",TRUE,"male","turker",18,"07/20/2020","../data/3gjgXV5oRLIHsS9R4idI_responses.xlsx","LoFreq",0.413870575268447,0,6.60408543905442e-05,0.11648143476375,0,3.13384721580352e-05,0.123632315226483,0.499968328757859,-158.183176118134,"High","Clumped"
"48","3gjgXV5oRLIHsS9R4idI",28,"highStart_clump",TRUE,"unknown",TRUE,"male","turker",18,"07/20/2020","../data/3gjgXV5oRLIHsS9R4idI_responses.xlsx","HiFreq",0.432975820304364,0,6.60408543905442e-05,0.157487775311951,0,3.13384721580352e-05,0.168868569109621,0.499968328757859,-153.516979925825,"High","Clumped"
