"","ParticipantIdentifier","Age","ClumpCondition","Condition","NativeSpeaker","EngAoA","Bilingual","Gender","TimeToCompletion","CompletionDate","File","WordFreq","AUROCnofit","R","Rmin","Rmax","dprime","dmin","dmax","AUROC","logL","StartCondition","OrderCondition"
"1","01YO0O0NpBAdcXygn3cr",29,"clumped","low_clumped_picsFirst","TRUE","unknown","FALSE","male",24,"6/15/2021","../data/01YO0O0NpBAdcXygn3cr_responses_words.xlsx","LoFreq",0.683044324908678,0.287655014562901,4.09458019019004e-05,0.629800429659953,1.42156874923215,0.222314703994916,2.06671426069934,0.88737415700507,-180.877619391604,"Low","Clumped"
"2","01YO0O0NpBAdcXygn3cr",29,"clumped","low_clumped_picsFirst","TRUE","unknown","FALSE","male",24,"6/15/2021","../data/01YO0O0NpBAdcXygn3cr_responses_words.xlsx","AllFreq",0.639325207043385,0.248910854138025,4.06906641872609e-05,0.470504878099631,1.07161211658544,0.320021576311821,1.672623519722,0.831262516414881,-281.463453357647,"Low","Clumped"
"3","01YO0O0NpBAdcXygn3cr",29,"clumped","low_clumped_picsFirst","TRUE","unknown","FALSE","male",24,"6/15/2021","../data/01YO0O0NpBAdcXygn3cr_responses_words.xlsx","HiFreq",0.601946872443932,0.168595839334782,4.072321885927e-05,0.407147052004563,0.842133853182764,8.14114270949255e-05,1.42372016754549,0.77055714396738,-188.762805663361,"Low","Clumped"
"4","0UjMVpi0OwA883y3yvof",27,"clumped","high_clumped_wordsFirst","FALSE","5","TRUE","male",30,"5/27/2021","../data/0UjMVpi0OwA883y3yvof_responses_words.xlsx","LoFreq",0.669353028542901,0.218218224890718,4.17855320658082e-05,0.631260753241997,1.15222670705949,0.268259963589149,1.62432801866115,0.837386284701552,-277.534195816895,"High","Clumped"
"5","0UjMVpi0OwA883y3yvof",27,"clumped","high_clumped_wordsFirst","FALSE","5","TRUE","male",30,"5/27/2021","../data/0UjMVpi0OwA883y3yvof_responses_words.xlsx","AllFreq",0.591423455102813,0.181369952727078,4.06991713015545e-05,0.406691981143473,0.586681249468157,0.0675864582632133,1.00214824266947,0.722273663426677,-404.954532015878,"High","Clumped"
"6","0UjMVpi0OwA883y3yvof",27,"clumped","high_clumped_wordsFirst","FALSE","5","TRUE","male",30,"5/27/2021","../data/0UjMVpi0OwA883y3yvof_responses_words.xlsx","HiFreq",0.532093827926019,0.0419041976195024,4.06907744748771e-05,0.251914966785624,0.297725015175049,8.14388605042861e-05,0.608515849972082,0.600769435659913,-300.582324812932,"High","Clumped"
"7","12JxMoMEeqgQqs1KIll2",45,"even","low_even_picsFirst","TRUE","unknown","FALSE","female",23,"6/23/2021","../data/12JxMoMEeqgQqs1KIll2_responses_words.xlsx","AllFreq",NA,0.750674146179169,4.07122126107264e-05,0.987062862160519,0,8.13837521964792e-05,1.59738084148514,0.875281627064851,-20.5846802096016,"Low","Even"
"8","12JxMoMEeqgQqs1KIll2",45,"even","low_even_picsFirst","TRUE","unknown","FALSE","female",23,"6/23/2021","../data/12JxMoMEeqgQqs1KIll2_responses_words.xlsx","HiFreq",NA,0.501333456394999,6.60408543905442e-05,0.9739255470818,0,3.13384721580352e-05,1.39846876995066,0.750619179102614,-19.8842865144624,"Low","Even"
"9","12JxMoMEeqgQqs1KIll2",45,"even","low_even_picsFirst","TRUE","unknown","FALSE","female",23,"6/23/2021","../data/12JxMoMEeqgQqs1KIll2_responses_words.xlsx","LoFreq",NA,0.999,5.13016584361048e-05,0.99893395914561,0,8.1388156148178e-05,3.07217326093119,0.999436689187405,-15.3431516795737,"Low","Even"
"10","1go61eMhciccLqbiJOsQ",41,"even","high_even_wordsFirst","TRUE","unknown","FALSE","male",30,"6/14/2021","../data/1go61eMhciccLqbiJOsQ_responses_words.xlsx","AllFreq",0.641743461898386,0.31994696784041,0.138942867823143,0.434828502041682,0.935880790712395,0.473145432565701,1.35832745288506,0.827018239911922,-275.37418574437,"High","Even"
