"","OV","V2","ObjType","SbjType","Year","Genre","ID","SimpleGenre","zYear","V2bin"
"4098","0","sinv","posobj","nomsbj",1250,"nar","1250.sturlunga.nar-sag","nar",-1.53823716453937,1
"4110","0","nonsinv","posobj","nomsbj",1250,"nar","1250.sturlunga.nar-sag","nar",-1.53823716453937,0
"4113","0","nonsinv","posobj","pronsbj",1250,"nar","1250.sturlunga.nar-sag","nar",-1.53823716453937,0
"4522","0","nonsinv","posobj","pronsbj",1250,"nar","1250.sturlunga.nar-sag","nar",-1.53823716453937,0
"4585","1","sinv","posobj","pronsbj",1250,"nar","1250.sturlunga.nar-sag","nar",-1.53823716453937,1
"4656","0","nonsinv","posobj","pronsbj",1250,"nar","1250.sturlunga.nar-sag","nar",-1.53823716453937,0
"4748","0","sinv","posobj","pronsbj",1250,"nar","1250.sturlunga.nar-sag","nar",-1.53823716453937,1
"4791","0","sinv","posobj","pronsbj",1250,"nar","1250.sturlunga.nar-sag","nar",-1.53823716453937,1
"5184","0","nonsinv","pronobj","pronsbj",1250,"nar","1250.sturlunga.nar-sag","nar",-1.53823716453937,0
"5235","0","nonsinv","posobj","pronsbj",1250,"nar","1250.sturlunga.nar-sag","nar",-1.53823716453937,0
"5343","0","nonsinv","posobj","pronsbj",1250,"nar","1250.sturlunga.nar-sag","nar",-1.53823716453937,0
"5377","1","sinv","posobj","nomsbj",1250,"nar","1250.sturlunga.nar-sag","nar",-1.53823716453937,1
"5381","1","nonsinv","posobj","nomsbj",1250,"nar","1250.sturlunga.nar-sag","nar",-1.53823716453937,0
"5404","1","sinv","posobj","pronsbj",1250,"nar","1250.sturlunga.nar-sag","nar",-1.53823716453937,1
"5503","1","nonsinv","posobj","nomsbj",1250,"nar","1250.sturlunga.nar-sag","nar",-1.53823716453937,0
"5784","0","sinv","pronobj","nomsbj",1250,"nar","1250.sturlunga.nar-sag","nar",-1.53823716453937,1
"5822","0","sinv","posobj","nomsbj",1250,"nar","1250.sturlunga.nar-sag","nar",-1.53823716453937,1
"6031","1","nonsinv","posobj","pronsbj",1250,"nar","1250.sturlunga.nar-sag","nar",-1.53823716453937,0
"6164","0","nonsinv","posobj","pronsbj",1250,"nar","1250.sturlunga.nar-sag","nar",-1.53823716453937,0
"6366","0","sinv","posobj","pronsbj",1250,"nar","1250.sturlunga.nar-sag","nar",-1.53823716453937,1
"6537","0","nonsinv","posobj","nomsbj",1250,"nar","1250.sturlunga.nar-sag","nar",-1.53823716453937,0
"6590","0","sinv","posobj","nomsbj",1250,"nar","1250.sturlunga.nar-sag","nar",-1.53823716453937,1
"6648","0","nonsinv","posobj","nomsbj",1250,"nar","1250.thetubrot.nar-sag","nar",-1.53823716453937,0
"6751","1","sinv","pronobj","pronsbj",1250,"nar","1250.thetubrot.nar-sag","nar",-1.53823716453937,1
"6769","0","nonsinv","posobj","nomsbj",1250,"nar","1250.thetubrot.nar-sag","nar",-1.53823716453937,0
"6785","0","sinv","pronobj","pronsbj",1250,"nar","1250.thetubrot.nar-sag","nar",-1.53823716453937,1
"6846","0","sinv","posobj","pronsbj",1250,"nar","1250.thetubrot.nar-sag","nar",-1.53823716453937,1
"6866","0","sinv","posobj","pronsbj",1250,"nar","1250.thetubrot.nar-sag","nar",-1.53823716453937,1
"6870","1","nonsinv","posobj","nomsbj",1250,"nar","1250.thetubrot.nar-sag","nar",-1.53823716453937,0
"7028","0","nonsinv","posobj","pronsbj",1260,"nar","1260.jomsvikingar.nar-sag","nar",-1.49945256146642,0
"7074","0","nonsinv","posobj","nomsbj",1260,"nar","1260.jomsvikingar.nar-sag","nar",-1.49945256146642,0
"7391","1","sinv","posobj","pronsbj",1260,"nar","1260.jomsvikingar.nar-sag","nar",-1.49945256146642,1
"7469","1","sinv","posobj","pronsbj",1260,"nar","1260.jomsvikingar.nar-sag","nar",-1.49945256146642,1
"7575","0","sinv","pronobj","pronsbj",1260,"nar","1260.jomsvikingar.nar-sag","nar",-1.49945256146642,1
"7601","0","nonsinv","posobj","pronsbj",1260,"nar","1260.jomsvikingar.nar-sag","nar",-1.49945256146642,0
"7787","0","nonsinv","posobj","pronsbj",1260,"nar","1260.jomsvikingar.nar-sag","nar",-1.49945256146642,0
"7871","0","nonsinv","posobj","nomsbj",1260,"nar","1260.jomsvikingar.nar-sag","nar",-1.49945256146642,0
"8136","0","nonsinv","posobj","pronsbj",1260,"nar","1260.jomsvikingar.nar-sag","nar",-1.49945256146642,0
"8154","1","sinv","posobj","pronsbj",1260,"nar","1260.jomsvikingar.nar-sag","nar",-1.49945256146642,1
